2024-07-05 20:21:45,375, 75, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009163830124, Generator_Loss-train: 0.629302765947, Registration_Loss_val-val: 0.013337698780Generator_Loss_val-val: 0.633373182643
2024-07-05 20:29:07,563, 76, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009148769923, Generator_Loss-train: 0.629286302159, Registration_Loss_val-val: 0.013336871429Generator_Loss_val-val: 0.633371114992
2024-07-05 20:36:17,942, 77, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009134012149, Generator_Loss-train: 0.629270100587, Registration_Loss_val-val: 0.013327633683Generator_Loss_val-val: 0.633360555053
2024-07-05 20:43:34,132, 78, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009119001153, Generator_Loss-train: 0.629254362400, Registration_Loss_val-val: 0.013310829782Generator_Loss_val-val: 0.633344841188
2024-07-05 20:50:50,504, 79, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009104921006, Generator_Loss-train: 0.629239048086, Registration_Loss_val-val: 0.013302316243Generator_Loss_val-val: 0.633334988604
2024-07-05 20:58:03,395, 80, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009090281265, Generator_Loss-train: 0.629222919274, Registration_Loss_val-val: 0.013290087020Generator_Loss_val-val: 0.633322365040
2024-07-05 21:05:16,264, 81, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009076163245, Generator_Loss-train: 0.629207838157, Registration_Loss_val-val: 0.013274780606Generator_Loss_val-val: 0.633306596724
2024-07-05 21:12:38,790, 82, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009062645735, Generator_Loss-train: 0.629193473850, Registration_Loss_val-val: 0.013263337369Generator_Loss_val-val: 0.633294141134
2024-07-05 21:20:03,290, 83, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009048648869, Generator_Loss-train: 0.629179304845, Registration_Loss_val-val: 0.013260881693Generator_Loss_val-val: 0.633290968601
2024-07-05 21:27:20,291, 84, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009034533392, Generator_Loss-train: 0.629164122677, Registration_Loss_val-val: 0.013247025830Generator_Loss_val-val: 0.633275745762
